model,skill,condition,bucket,n,failed,partial,solved,failed_pct,partial_pct,solved_pct
apertus-70b,no-skill,no-skill,func,553,23,444,86,4.16,80.29,15.55
apertus-70b,no-skill,no-skill,sytx,446,16,352,78,3.59,78.92,17.49
apertus-70b,no-skill,no-skill,sytx+func,128,5,105,18,3.91,82.03,14.06
apertus-70b,no-skill,no-skill,text,808,46,487,275,5.69,60.27,34.03
apertus-70b,no-skill,no-skill,text+func,661,26,455,180,3.93,68.84,27.23
apertus-70b,no-skill,no-skill,text+sytx,81,4,49,28,4.94,60.49,34.57
apertus-70b,no-skill,no-skill,text+sytx+func,895,120,314,461,13.41,35.08,51.51
apertus-70b,no-skill,no-skill,ALL,3572,240,2206,1126,6.72,61.76,31.52
apertus-70b,v1,sys,func,553,24,447,82,4.34,80.83,14.83
apertus-70b,v1,sys,sytx,446,17,377,52,3.81,84.53,11.66
apertus-70b,v1,sys,sytx+func,128,7,101,20,5.47,78.91,15.62
apertus-70b,v1,sys,text,808,44,521,243,5.45,64.48,30.07
apertus-70b,v1,sys,text+func,661,21,456,184,3.18,68.99,27.84
apertus-70b,v1,sys,text+sytx,81,4,47,30,4.94,58.02,37.04
apertus-70b,v1,sys,text+sytx+func,895,128,301,466,14.30,33.63,52.07
apertus-70b,v1,sys,ALL,3572,245,2250,1077,6.86,62.99,30.15
apertus-70b,v2,sys,func,553,21,465,67,3.80,84.09,12.12
apertus-70b,v2,sys,sytx,446,17,387,42,3.81,86.77,9.42
apertus-70b,v2,sys,sytx+func,128,5,105,18,3.91,82.03,14.06
apertus-70b,v2,sys,text,808,44,530,234,5.45,65.59,28.96
apertus-70b,v2,sys,text+func,661,28,461,172,4.24,69.74,26.02
apertus-70b,v2,sys,text+sytx,81,4,48,29,4.94,59.26,35.80
apertus-70b,v2,sys,text+sytx+func,894,118,345,431,13.20,38.59,48.21
apertus-70b,v2,sys,ALL,3571,237,2341,993,6.64,65.56,27.81
apertus-70b,v2.1,sys,func,553,23,460,70,4.16,83.18,12.66
apertus-70b,v2.1,sys,sytx,446,17,379,50,3.81,84.98,11.21
apertus-70b,v2.1,sys,sytx+func,128,7,103,18,5.47,80.47,14.06
apertus-70b,v2.1,sys,text,808,41,532,235,5.07,65.84,29.08
apertus-70b,v2.1,sys,text+func,661,25,458,178,3.78,69.29,26.93
apertus-70b,v2.1,sys,text+sytx,81,3,43,35,3.70,53.09,43.21
apertus-70b,v2.1,sys,text+sytx+func,893,113,337,443,12.65,37.74,49.61
apertus-70b,v2.1,sys,ALL,3570,229,2312,1029,6.41,64.76,28.82
