model,skill,condition,bucket,n_paired,failed->failed,failed->partial,failed->solved,partial->failed,partial->partial,partial->solved,solved->failed,solved->partial,solved->solved
apertus-70b,no-skill,no-skill,func,553,23,0,0,0,444,0,0,0,86
apertus-70b,no-skill,no-skill,sytx,446,16,0,0,0,352,0,0,0,78
apertus-70b,no-skill,no-skill,sytx+func,128,5,0,0,0,105,0,0,0,18
apertus-70b,no-skill,no-skill,text,808,46,0,0,0,487,0,0,0,275
apertus-70b,no-skill,no-skill,text+func,661,26,0,0,0,455,0,0,0,180
apertus-70b,no-skill,no-skill,text+sytx,81,4,0,0,0,49,0,0,0,28
apertus-70b,no-skill,no-skill,text+sytx+func,895,120,0,0,0,314,0,0,0,461
apertus-70b,no-skill,no-skill,ALL,3572,240,0,0,0,2206,0,0,0,1126
apertus-70b,v1,sys,func,553,23,0,0,1,436,7,0,11,75
apertus-70b,v1,sys,sytx,446,16,0,0,1,348,3,0,29,49
apertus-70b,v1,sys,sytx+func,128,5,0,0,2,101,2,0,0,18
apertus-70b,v1,sys,text,808,42,3,1,2,460,25,0,58,217
apertus-70b,v1,sys,text+func,661,18,4,4,1,431,23,2,21,157
apertus-70b,v1,sys,text+sytx,81,4,0,0,0,45,4,0,2,26
apertus-70b,v1,sys,text+sytx+func,895,102,8,10,13,268,33,13,25,423
apertus-70b,v1,sys,ALL,3572,210,15,15,20,2089,97,15,146,965
apertus-70b,v2,sys,func,553,21,2,0,0,435,9,0,28,58
apertus-70b,v2,sys,sytx,446,16,0,0,1,344,7,0,43,35
apertus-70b,v2,sys,sytx+func,128,5,0,0,0,103,2,0,2,16
apertus-70b,v2,sys,text,808,39,6,1,4,458,25,1,66,208
apertus-70b,v2,sys,text+func,661,24,2,0,2,424,29,2,35,143
apertus-70b,v2,sys,text+sytx,81,4,0,0,0,44,5,0,4,24
apertus-70b,v2,sys,text+sytx+func,894,96,16,7,11,267,36,11,62,388
apertus-70b,v2,sys,ALL,3571,205,26,8,18,2075,113,14,240,872
apertus-70b,v2.1,sys,func,553,21,1,1,2,434,8,0,25,61
apertus-70b,v2.1,sys,sytx,446,16,0,0,1,340,11,0,39,39
apertus-70b,v2.1,sys,sytx+func,128,5,0,0,2,99,4,0,4,14
apertus-70b,v2.1,sys,text,808,39,6,1,2,458,27,0,68,207
apertus-70b,v2.1,sys,text+func,661,22,4,0,1,416,38,2,38,140
apertus-70b,v2.1,sys,text+sytx,81,3,0,1,0,42,7,0,1,27
apertus-70b,v2.1,sys,text+sytx+func,893,90,20,8,11,258,45,12,59,390
apertus-70b,v2.1,sys,ALL,3570,196,31,11,19,2047,140,14,234,878
