model,skill,condition,bucket,n_paired,mean_delta_edit,mean_skill_edit
apertus,no-skill,no-skill,func,553,0.0000,0.3164
apertus,no-skill,no-skill,sytx,446,0.0000,0.2873
apertus,no-skill,no-skill,sytx+func,128,0.0000,0.3269
apertus,no-skill,no-skill,text,808,0.0000,0.4116
apertus,no-skill,no-skill,text+func,661,0.0000,0.3829
apertus,no-skill,no-skill,text+sytx,81,0.0000,0.3750
apertus,no-skill,no-skill,text+sytx+func,895,0.0000,0.4576
apertus,no-skill,no-skill,ALL,3572,0.0000,0.3837
apertus,v1,sys,func,553,-0.0222,0.2941
apertus,v1,sys,sytx,446,-0.0185,0.2688
apertus,v1,sys,sytx+func,128,-0.0140,0.3129
apertus,v1,sys,text,808,-0.0100,0.4016
apertus,v1,sys,text+func,661,-0.0116,0.3713
apertus,v1,sys,text+sytx,81,-0.0059,0.3691
apertus,v1,sys,text+sytx+func,895,-0.0033,0.4543
apertus,v1,sys,ALL,3572,-0.0116,0.3721
apertus,v1,user,func,553,-0.0235,0.2929
apertus,v1,user,sytx,446,-0.0317,0.2556
apertus,v1,user,sytx+func,128,-0.0069,0.3200
apertus,v1,user,text,808,-0.0187,0.3929
apertus,v1,user,text+func,661,-0.0163,0.3667
apertus,v1,user,text+sytx,81,-0.0079,0.3671
apertus,v1,user,text+sytx+func,895,0.0080,0.4656
apertus,v1,user,ALL,3572,-0.0132,0.3704
apertus,v2,sys,func,553,0.0253,0.3417
apertus,v2,sys,sytx,446,0.0522,0.3395
apertus,v2,sys,sytx+func,128,0.0229,0.3498
apertus,v2,sys,text,808,0.0419,0.4535
apertus,v2,sys,text+func,661,0.0368,0.4197
apertus,v2,sys,text+sytx,81,0.0680,0.4430
apertus,v2,sys,text+sytx+func,894,0.0562,0.5143
apertus,v2,sys,ALL,3571,0.0432,0.4270
apertus,v2,user,func,553,0.0140,0.3304
apertus,v2,user,sytx,446,0.0280,0.3153
apertus,v2,user,sytx+func,128,0.0188,0.3457
apertus,v2,user,text,808,0.0347,0.4463
apertus,v2,user,text+func,661,0.0260,0.4089
apertus,v2,user,text+sytx,81,0.0850,0.4599
apertus,v2,user,text+sytx+func,894,0.0667,0.5248
apertus,v2,user,ALL,3571,0.0376,0.4214
apertus,v2.1,sys,func,553,0.0330,0.3494
apertus,v2.1,sys,sytx,446,0.0684,0.3557
apertus,v2.1,sys,sytx+func,128,0.0398,0.3666
apertus,v2.1,sys,text,808,0.0546,0.4662
apertus,v2.1,sys,text+func,661,0.0518,0.4347
apertus,v2.1,sys,text+sytx,81,0.0966,0.4716
apertus,v2.1,sys,text+sytx+func,893,0.0850,0.5425
apertus,v2.1,sys,ALL,3570,0.0605,0.4441
apertus,v2.1,user,func,553,0.0174,0.3338
apertus,v2.1,user,sytx,446,0.0382,0.3255
apertus,v2.1,user,sytx+func,128,0.0291,0.3560
apertus,v2.1,user,text,808,0.0339,0.4455
apertus,v2.1,user,text+func,661,0.0400,0.4229
apertus,v2.1,user,text+sytx,81,0.1117,0.4867
apertus,v2.1,user,text+sytx+func,893,0.0740,0.5315
apertus,v2.1,user,ALL,3570,0.0446,0.4283
