model,skill,condition,bucket,n,failed,partial,solved,failed_pct,partial_pct,solved_pct
apertus,no-skill,no-skill,func,553,23,491,39,4.16,88.79,7.05
apertus,no-skill,no-skill,sytx,446,19,406,21,4.26,91.03,4.71
apertus,no-skill,no-skill,sytx+func,128,9,104,15,7.03,81.25,11.72
apertus,no-skill,no-skill,text,808,52,571,185,6.44,70.67,22.90
apertus,no-skill,no-skill,text+func,661,28,505,128,4.24,76.40,19.36
apertus,no-skill,no-skill,text+sytx,81,3,64,14,3.70,79.01,17.28
apertus,no-skill,no-skill,text+sytx+func,895,133,397,365,14.86,44.36,40.78
apertus,no-skill,no-skill,ALL,3572,267,2538,767,7.47,71.05,21.47
apertus,v1,sys,func,553,23,498,32,4.16,90.05,5.79
apertus,v1,sys,sytx,446,24,409,13,5.38,91.70,2.91
apertus,v1,sys,sytx+func,128,6,108,14,4.69,84.38,10.94
apertus,v1,sys,text,808,49,593,166,6.06,73.39,20.54
apertus,v1,sys,text+func,661,23,529,109,3.48,80.03,16.49
apertus,v1,sys,text+sytx,81,8,59,14,9.88,72.84,17.28
apertus,v1,sys,text+sytx+func,895,131,421,343,14.64,47.04,38.32
apertus,v1,sys,ALL,3572,264,2617,691,7.39,73.26,19.34
apertus,v1,user,func,553,26,491,36,4.70,88.79,6.51
apertus,v1,user,sytx,446,26,408,12,5.83,91.48,2.69
apertus,v1,user,sytx+func,128,6,107,15,4.69,83.59,11.72
apertus,v1,user,text,808,45,604,159,5.57,74.75,19.68
apertus,v1,user,text+func,661,25,538,98,3.78,81.39,14.83
apertus,v1,user,text+sytx,81,5,62,14,6.17,76.54,17.28
apertus,v1,user,text+sytx+func,895,136,397,362,15.20,44.36,40.45
apertus,v1,user,ALL,3572,269,2607,696,7.53,72.98,19.48
apertus,v2,sys,func,553,23,473,57,4.16,85.53,10.31
apertus,v2,sys,sytx,446,16,387,43,3.59,86.77,9.64
apertus,v2,sys,sytx+func,128,5,105,18,3.91,82.03,14.06
apertus,v2,sys,text,808,45,555,208,5.57,68.69,25.74
apertus,v2,sys,text+func,661,22,485,154,3.33,73.37,23.30
apertus,v2,sys,text+sytx,81,4,56,21,4.94,69.14,25.93
apertus,v2,sys,text+sytx+func,894,120,346,428,13.42,38.70,47.87
apertus,v2,sys,ALL,3571,235,2407,929,6.58,67.40,26.02
apertus,v2,user,func,553,23,475,55,4.16,85.90,9.95
apertus,v2,user,sytx,446,18,391,37,4.04,87.67,8.30
apertus,v2,user,sytx+func,128,6,107,15,4.69,83.59,11.72
apertus,v2,user,text,808,45,562,201,5.57,69.55,24.88
apertus,v2,user,text+func,661,24,500,137,3.63,75.64,20.73
apertus,v2,user,text+sytx,81,4,52,25,4.94,64.20,30.86
apertus,v2,user,text+sytx+func,894,125,326,443,13.98,36.47,49.55
apertus,v2,user,ALL,3571,245,2413,913,6.86,67.57,25.57
apertus,v2.1,sys,func,553,21,467,65,3.80,84.45,11.75
apertus,v2.1,sys,sytx,446,19,375,52,4.26,84.08,11.66
apertus,v2.1,sys,sytx+func,128,6,103,19,4.69,80.47,14.84
apertus,v2.1,sys,text,808,47,540,221,5.82,66.83,27.35
apertus,v2.1,sys,text+func,661,20,472,169,3.03,71.41,25.57
apertus,v2.1,sys,text+sytx,81,3,57,21,3.70,70.37,25.93
apertus,v2.1,sys,text+sytx+func,893,113,307,473,12.65,34.38,52.97
apertus,v2.1,sys,ALL,3570,229,2321,1020,6.41,65.01,28.57
apertus,v2.1,user,func,553,23,472,58,4.16,85.35,10.49
apertus,v2.1,user,sytx,446,23,381,42,5.16,85.43,9.42
apertus,v2.1,user,sytx+func,128,6,103,19,4.69,80.47,14.84
apertus,v2.1,user,text,808,45,559,204,5.57,69.18,25.25
apertus,v2.1,user,text+func,661,21,487,153,3.18,73.68,23.15
apertus,v2.1,user,text+sytx,81,3,52,26,3.70,64.20,32.10
apertus,v2.1,user,text+sytx+func,893,116,324,453,12.99,36.28,50.73
apertus,v2.1,user,ALL,3570,237,2378,955,6.64,66.61,26.75
