model,skill,condition,bucket,n_paired,failed->failed,failed->partial,failed->solved,partial->failed,partial->partial,partial->solved,solved->failed,solved->partial,solved->solved
apertus,no-skill,no-skill,func,553,23,0,0,0,491,0,0,0,39
apertus,no-skill,no-skill,sytx,446,19,0,0,0,406,0,0,0,21
apertus,no-skill,no-skill,sytx+func,128,9,0,0,0,104,0,0,0,15
apertus,no-skill,no-skill,text,808,52,0,0,0,571,0,0,0,185
apertus,no-skill,no-skill,text+func,661,28,0,0,0,505,0,0,0,128
apertus,no-skill,no-skill,text+sytx,81,3,0,0,0,64,0,0,0,14
apertus,no-skill,no-skill,text+sytx+func,895,133,0,0,0,397,0,0,0,365
apertus,no-skill,no-skill,ALL,3572,267,0,0,0,2538,0,0,0,767
apertus,v1,sys,func,553,21,2,0,2,480,9,0,16,23
apertus,v1,sys,sytx,446,18,1,0,6,394,6,0,14,7
apertus,v1,sys,sytx+func,128,5,4,0,1,102,1,0,2,13
apertus,v1,sys,text,808,42,7,3,6,538,27,1,48,136
apertus,v1,sys,text+func,661,18,4,6,4,479,22,1,46,81
apertus,v1,sys,text+sytx,81,3,0,0,4,57,3,1,2,11
apertus,v1,sys,text+sytx+func,895,116,12,5,12,333,52,3,76,286
apertus,v1,sys,ALL,3572,223,30,14,35,2383,120,6,204,557
apertus,v1,user,func,553,22,1,0,4,472,15,0,18,21
apertus,v1,user,sytx,446,18,1,0,8,394,4,0,13,8
apertus,v1,user,sytx+func,128,5,4,0,1,101,2,0,2,13
apertus,v1,user,text,808,39,10,3,5,540,26,1,54,130
apertus,v1,user,text+func,661,22,4,2,1,486,18,2,48,78
apertus,v1,user,text+sytx,81,3,0,0,1,60,3,1,2,11
apertus,v1,user,text+sytx+func,895,120,8,5,13,330,54,3,59,303
apertus,v1,user,ALL,3572,229,28,10,33,2383,122,7,196,564
apertus,v2,sys,func,553,21,2,0,2,467,22,0,4,35
apertus,v2,sys,sytx,446,16,3,0,0,381,25,0,3,18
apertus,v2,sys,sytx+func,128,5,4,0,0,100,4,0,1,14
apertus,v2,sys,text,808,43,6,3,2,527,42,0,22,163
apertus,v2,sys,text+func,661,21,2,5,1,465,39,0,18,110
apertus,v2,sys,text+sytx,81,3,0,0,0,56,8,1,0,13
apertus,v2,sys,text+sytx+func,894,113,10,9,3,303,91,4,33,328
apertus,v2,sys,ALL,3571,222,27,17,8,2299,231,5,81,681
apertus,v2,user,func,553,21,2,0,2,466,23,0,7,32
apertus,v2,user,sytx,446,17,2,0,1,382,23,0,7,14
apertus,v2,user,sytx+func,128,5,4,0,1,101,2,0,2,13
apertus,v2,user,text,808,43,8,1,2,534,35,0,20,165
apertus,v2,user,text+func,661,22,4,2,2,466,37,0,30,98
apertus,v2,user,text+sytx,81,3,0,0,0,52,12,1,0,13
apertus,v2,user,text+sytx+func,894,114,8,10,7,295,95,4,23,338
apertus,v2,user,ALL,3571,225,28,13,15,2296,227,5,89,673
apertus,v2.1,sys,func,553,21,2,0,0,460,31,0,5,34
apertus,v2.1,sys,sytx,446,16,3,0,3,369,34,0,3,18
apertus,v2.1,sys,sytx+func,128,5,4,0,1,98,5,0,1,14
apertus,v2.1,sys,text,808,44,5,3,3,516,52,0,19,166
apertus,v2.1,sys,text+func,661,19,3,6,1,447,57,0,22,106
apertus,v2.1,sys,text+sytx,81,2,1,0,0,56,8,1,0,13
apertus,v2.1,sys,text+sytx+func,893,105,14,13,4,268,125,4,25,335
apertus,v2.1,sys,ALL,3570,212,32,22,12,2214,312,5,75,686
apertus,v2.1,user,func,553,22,1,0,1,464,26,0,7,32
apertus,v2.1,user,sytx,446,18,1,0,5,375,26,0,5,16
apertus,v2.1,user,sytx+func,128,5,4,0,1,99,4,0,0,15
apertus,v2.1,user,text,808,43,7,2,2,527,42,0,25,160
apertus,v2.1,user,text+func,661,18,4,6,3,458,44,0,25,103
apertus,v2.1,user,text+sytx,81,2,1,0,0,50,14,1,1,12
apertus,v2.1,user,text+sytx+func,893,106,14,12,8,282,107,2,28,334
apertus,v2.1,user,ALL,3570,214,32,20,20,2255,263,3,91,672
