model,condition,scope,bucket,median,n
qwen3,baseline,overall,,0.6070,3574
qwen3,baseline,bucket,func,0.4698,553
qwen3,baseline,bucket,sytx,0.5110,446
qwen3,baseline,bucket,sytx+func,0.5163,128
qwen3,baseline,bucket,text,0.6422,808
qwen3,baseline,bucket,text+func,0.6018,662
qwen3,baseline,bucket,text+sytx,0.5971,81
qwen3,baseline,bucket,text+sytx+func,0.8024,896
qwen3,v1,overall,,0.5405,3574
qwen3,v1,bucket,func,0.4220,553
qwen3,v1,bucket,sytx,0.4382,446
qwen3,v1,bucket,sytx+func,0.5249,128
qwen3,v1,bucket,text,0.5574,808
qwen3,v1,bucket,text+func,0.5541,661
qwen3,v1,bucket,text+sytx,0.5470,81
qwen3,v1,bucket,text+sytx+func,0.7441,897
qwen3,v2,overall,,0.6000,3573
qwen3,v2,bucket,func,0.4660,553
qwen3,v2,bucket,sytx,0.5446,446
qwen3,v2,bucket,sytx+func,0.5496,128
qwen3,v2,bucket,text,0.6423,808
qwen3,v2,bucket,text+func,0.6111,661
qwen3,v2,bucket,text+sytx,0.5849,81
qwen3,v2,bucket,text+sytx+func,0.7748,896
qwen3,v2.1,overall,,0.5893,3573
qwen3,v2.1,bucket,func,0.4567,553
qwen3,v2.1,bucket,sytx,0.5000,446
qwen3,v2.1,bucket,sytx+func,0.5240,128
qwen3,v2.1,bucket,text,0.6317,808
qwen3,v2.1,bucket,text+func,0.5950,661
qwen3,v2.1,bucket,text+sytx,0.6194,81
qwen3,v2.1,bucket,text+sytx+func,0.7872,896
apertus,baseline,overall,,0.4975,3572
apertus,baseline,bucket,func,0.4335,553
apertus,baseline,bucket,sytx,0.3927,446
apertus,baseline,bucket,sytx+func,0.4321,128
apertus,baseline,bucket,text,0.5155,808
apertus,baseline,bucket,text+func,0.5364,661
apertus,baseline,bucket,text+sytx,0.4571,81
apertus,baseline,bucket,text+sytx+func,0.7098,895
apertus,v1,overall,,0.4644,3572
apertus,v1,bucket,func,0.3736,553
apertus,v1,bucket,sytx,0.3681,446
apertus,v1,bucket,sytx+func,0.4095,128
apertus,v1,bucket,text,0.4839,808
apertus,v1,bucket,text+func,0.4787,661
apertus,v1,bucket,text+sytx,0.4160,81
apertus,v1,bucket,text+sytx+func,0.6835,895
apertus,v2,overall,,0.5671,3571
apertus,v2,bucket,func,0.4434,553
apertus,v2,bucket,sytx,0.4576,446
apertus,v2,bucket,sytx+func,0.4934,128
apertus,v2,bucket,text,0.5980,808
apertus,v2,bucket,text+func,0.5694,661
apertus,v2,bucket,text+sytx,0.5482,81
apertus,v2,bucket,text+sytx+func,0.7829,894
apertus,v2.1,overall,,0.5979,3570
apertus,v2.1,bucket,func,0.4507,553
apertus,v2.1,bucket,sytx,0.4925,446
apertus,v2.1,bucket,sytx+func,0.5427,128
apertus,v2.1,bucket,text,0.6161,808
apertus,v2.1,bucket,text+func,0.6141,661
apertus,v2.1,bucket,text+sytx,0.5849,81
apertus,v2.1,bucket,text+sytx+func,0.8307,893
