model,skill,condition,bucket,n_paired,mean_delta_edit,mean_skill_edit
qwen3-32b,no-skill,no-skill,func,553,0.0000,0.4415
qwen3-32b,no-skill,no-skill,sytx,446,0.0000,0.4675
qwen3-32b,no-skill,no-skill,sytx+func,128,0.0000,0.4098
qwen3-32b,no-skill,no-skill,text,808,0.0000,0.5608
qwen3-32b,no-skill,no-skill,text+func,662,0.0000,0.5281
qwen3-32b,no-skill,no-skill,text+sytx,81,0.0000,0.5885
qwen3-32b,no-skill,no-skill,text+sytx+func,879,0.0000,0.5674
qwen3-32b,no-skill,no-skill,ALL,3557,0.0000,0.5213
qwen3-32b,v1,sys,func,553,-0.0235,0.4180
qwen3-32b,v1,sys,sytx,446,-0.0484,0.4191
qwen3-32b,v1,sys,sytx+func,128,-0.0109,0.3990
qwen3-32b,v1,sys,text,808,-0.0297,0.5311
qwen3-32b,v1,sys,text+func,661,-0.0213,0.5077
qwen3-32b,v1,sys,text+sytx,81,-0.0483,0.5403
qwen3-32b,v1,sys,text+sytx+func,879,-0.0123,0.5551
qwen3-32b,v1,sys,ALL,3556,-0.0249,0.4965
qwen3-32b,v2,sys,func,553,-0.0034,0.4380
qwen3-32b,v2,sys,sytx,446,-0.0028,0.4647
qwen3-32b,v2,sys,sytx+func,128,-0.0099,0.4000
qwen3-32b,v2,sys,text,808,-0.0259,0.5349
qwen3-32b,v2,sys,text+func,661,-0.0131,0.5158
qwen3-32b,v2,sys,text+sytx,81,-0.0077,0.5808
qwen3-32b,v2,sys,text+sytx+func,878,-0.0282,0.5387
qwen3-32b,v2,sys,ALL,3555,-0.0167,0.5046
qwen3-32b,v2.1,sys,func,553,0.0000,0.4415
qwen3-32b,v2.1,sys,sytx,446,-0.0089,0.4586
qwen3-32b,v2.1,sys,sytx+func,128,0.0002,0.4100
qwen3-32b,v2.1,sys,text,808,-0.0095,0.5513
qwen3-32b,v2.1,sys,text+func,661,0.0047,0.5336
qwen3-32b,v2.1,sys,text+sytx,81,-0.0260,0.5625
qwen3-32b,v2.1,sys,text+sytx+func,878,-0.0030,0.5639
qwen3-32b,v2.1,sys,ALL,3555,-0.0037,0.5176
