model,skill,condition,bucket,n,failed,partial,solved,failed_pct,partial_pct,solved_pct
qwen3-32b,no-skill,no-skill,func,553,19,424,110,3.44,76.67,19.89
qwen3-32b,no-skill,no-skill,sytx,446,16,311,119,3.59,69.73,26.68
qwen3-32b,no-skill,no-skill,sytx+func,128,6,97,25,4.69,75.78,19.53
qwen3-32b,no-skill,no-skill,text,808,45,428,335,5.57,52.97,41.46
qwen3-32b,no-skill,no-skill,text+func,662,26,379,257,3.93,57.25,38.82
qwen3-32b,no-skill,no-skill,text+sytx,81,4,40,37,4.94,49.38,45.68
qwen3-32b,no-skill,no-skill,text+sytx+func,897,116,285,496,12.93,31.77,55.30
qwen3-32b,no-skill,no-skill,ALL,3575,232,1964,1379,6.49,54.94,38.57
qwen3-32b,v1,sys,func,553,21,435,97,3.80,78.66,17.54
qwen3-32b,v1,sys,sytx,446,19,322,105,4.26,72.20,23.54
qwen3-32b,v1,sys,sytx+func,128,6,102,20,4.69,79.69,15.62
qwen3-32b,v1,sys,text,808,42,471,295,5.20,58.29,36.51
qwen3-32b,v1,sys,text+func,661,26,401,234,3.93,60.67,35.40
qwen3-32b,v1,sys,text+sytx,81,4,42,35,4.94,51.85,43.21
qwen3-32b,v1,sys,text+sytx+func,897,126,298,473,14.05,33.22,52.73
qwen3-32b,v1,sys,ALL,3574,244,2071,1259,6.83,57.95,35.23
qwen3-32b,v2,sys,func,553,21,424,108,3.80,76.67,19.53
qwen3-32b,v2,sys,sytx,446,19,312,115,4.26,69.96,25.78
qwen3-32b,v2,sys,sytx+func,128,7,95,26,5.47,74.22,20.31
qwen3-32b,v2,sys,text,808,48,441,319,5.94,54.58,39.48
qwen3-32b,v2,sys,text+func,661,27,401,233,4.08,60.67,35.25
qwen3-32b,v2,sys,text+sytx,81,4,40,37,4.94,49.38,45.68
qwen3-32b,v2,sys,text+sytx+func,896,143,294,459,15.96,32.81,51.23
qwen3-32b,v2,sys,ALL,3573,269,2007,1297,7.53,56.17,36.30
qwen3-32b,v2.1,sys,func,553,19,426,108,3.44,77.03,19.53
qwen3-32b,v2.1,sys,sytx,446,16,314,116,3.59,70.40,26.01
qwen3-32b,v2.1,sys,sytx+func,128,6,99,23,4.69,77.34,17.97
qwen3-32b,v2.1,sys,text,808,40,431,337,4.95,53.34,41.71
qwen3-32b,v2.1,sys,text+func,661,22,389,250,3.33,58.85,37.82
qwen3-32b,v2.1,sys,text+sytx,81,4,40,37,4.94,49.38,45.68
qwen3-32b,v2.1,sys,text+sytx+func,896,137,273,486,15.29,30.47,54.24
qwen3-32b,v2.1,sys,ALL,3573,244,1972,1357,6.83,55.19,37.98
