model,skill,condition,bucket,n_paired,failed->failed,failed->partial,failed->solved,partial->failed,partial->partial,partial->solved,solved->failed,solved->partial,solved->solved
qwen3-32b,no-skill,no-skill,func,553,19,0,0,0,425,0,0,0,109
qwen3-32b,no-skill,no-skill,sytx,446,16,0,0,0,311,0,0,0,119
qwen3-32b,no-skill,no-skill,sytx+func,128,6,0,0,0,97,0,0,0,25
qwen3-32b,no-skill,no-skill,text,808,46,0,0,0,428,0,0,0,334
qwen3-32b,no-skill,no-skill,text+func,662,26,0,0,0,378,0,0,0,258
qwen3-32b,no-skill,no-skill,text+sytx,81,4,0,0,0,40,0,0,0,37
qwen3-32b,no-skill,no-skill,text+sytx+func,879,115,0,0,0,280,0,0,0,484
qwen3-32b,no-skill,no-skill,ALL,3557,232,0,0,0,1959,0,0,0,1366
qwen3-32b,v1,sys,func,553,18,0,1,3,415,7,0,20,89
qwen3-32b,v1,sys,sytx,446,16,0,0,3,300,8,0,22,97
qwen3-32b,v1,sys,sytx+func,128,5,1,0,1,96,0,0,5,20
qwen3-32b,v1,sys,text,808,38,6,2,4,415,9,0,50,284
qwen3-32b,v1,sys,text+func,661,24,0,1,2,365,11,0,36,222
qwen3-32b,v1,sys,text+sytx,81,4,0,0,0,39,1,0,3,34
qwen3-32b,v1,sys,text+sytx+func,879,105,2,8,5,257,18,9,33,442
qwen3-32b,v1,sys,ALL,3556,210,9,12,18,1887,54,9,169,1188
qwen3-32b,v2,sys,func,553,19,0,0,2,409,14,0,15,94
qwen3-32b,v2,sys,sytx,446,16,0,0,3,297,11,0,15,104
qwen3-32b,v2,sys,sytx+func,128,6,0,0,1,92,4,0,3,22
qwen3-32b,v2,sys,text,808,39,4,3,4,405,19,5,32,297
qwen3-32b,v2,sys,text+func,661,24,0,1,2,362,14,1,39,218
qwen3-32b,v2,sys,text+sytx,81,4,0,0,0,37,3,0,3,34
qwen3-32b,v2,sys,text+sytx+func,878,109,4,2,6,251,23,21,33,429
qwen3-32b,v2,sys,ALL,3555,217,8,6,18,1853,88,27,140,1198
qwen3-32b,v2.1,sys,func,553,18,0,1,1,413,11,0,13,96
qwen3-32b,v2.1,sys,sytx,446,16,0,0,0,303,8,0,11,108
qwen3-32b,v2.1,sys,sytx+func,128,6,0,0,0,96,1,0,3,22
qwen3-32b,v2.1,sys,text,808,38,5,3,1,405,22,1,21,312
qwen3-32b,v2.1,sys,text+func,661,20,0,5,2,358,18,0,31,227
qwen3-32b,v2.1,sys,text+sytx,81,4,0,0,0,39,1,0,1,36
qwen3-32b,v2.1,sys,text+sytx+func,878,105,3,7,10,242,28,15,22,446
qwen3-32b,v2.1,sys,ALL,3555,207,8,16,14,1856,89,16,102,1247
