model,skill,condition,bucket,n_paired,mean_delta_edit,mean_skill_edit
qwen3,no-skill,no-skill,func,553,0.0000,0.3667
qwen3,no-skill,no-skill,sytx,446,0.0000,0.3772
qwen3,no-skill,no-skill,sytx+func,128,0.0000,0.3494
qwen3,no-skill,no-skill,text,808,0.0000,0.4758
qwen3,no-skill,no-skill,text+func,662,0.0000,0.4465
qwen3,no-skill,no-skill,text+sytx,81,0.0000,0.4924
qwen3,no-skill,no-skill,text+sytx+func,896,0.0000,0.5361
qwen3,no-skill,no-skill,ALL,3574,0.0000,0.4521
qwen3,v1,sys,func,553,-0.0438,0.3229
qwen3,v1,sys,sytx,446,-0.0489,0.3283
qwen3,v1,sys,sytx+func,128,0.0197,0.3691
qwen3,v1,sys,text,808,-0.0605,0.4153
qwen3,v1,sys,text+func,661,-0.0392,0.4080
qwen3,v1,sys,text+sytx,81,-0.0592,0.4332
qwen3,v1,sys,text+sytx+func,896,-0.0528,0.4832
qwen3,v1,sys,ALL,3573,-0.0477,0.4046
qwen3,v1,user,func,553,-0.0569,0.3098
qwen3,v1,user,sytx,446,-0.0773,0.2999
qwen3,v1,user,sytx+func,128,0.0092,0.3586
qwen3,v1,user,text,808,-0.0609,0.4149
qwen3,v1,user,text+func,661,-0.0598,0.3874
qwen3,v1,user,text+sytx,81,-0.0759,0.4165
qwen3,v1,user,text+sytx+func,896,-0.0581,0.4779
qwen3,v1,user,ALL,3573,-0.0593,0.3930
qwen3,v2,sys,func,553,0.0056,0.3723
qwen3,v2,sys,sytx,446,0.0154,0.3926
qwen3,v2,sys,sytx+func,128,0.0218,0.3712
qwen3,v2,sys,text,808,0.0000,0.4758
qwen3,v2,sys,text+func,661,0.0012,0.4485
qwen3,v2,sys,text+sytx,81,-0.0214,0.4710
qwen3,v2,sys,text+sytx+func,895,-0.0285,0.5082
qwen3,v2,sys,ALL,3572,-0.0038,0.4486
qwen3,v2,user,func,553,0.0001,0.3668
qwen3,v2,user,sytx,446,-0.0165,0.3607
qwen3,v2,user,sytx+func,128,0.0212,0.3706
qwen3,v2,user,text,808,-0.0123,0.4635
qwen3,v2,user,text+func,661,0.0014,0.4487
qwen3,v2,user,text+sytx,81,-0.0224,0.4701
qwen3,v2,user,text+sytx+func,895,-0.0193,0.5174
qwen3,v2,user,ALL,3572,-0.0091,0.4433
qwen3,v2.1,sys,func,553,-0.0066,0.3601
qwen3,v2.1,sys,sytx,446,-0.0051,0.3721
qwen3,v2.1,sys,sytx+func,128,0.0059,0.3552
qwen3,v2.1,sys,text,808,-0.0108,0.4650
qwen3,v2.1,sys,text+func,661,-0.0066,0.4406
qwen3,v2.1,sys,text+sytx,81,-0.0169,0.4755
qwen3,v2.1,sys,text+sytx+func,895,-0.0170,0.5197
qwen3,v2.1,sys,ALL,3572,-0.0098,0.4426
qwen3,v2.1,user,func,553,-0.0133,0.3534
qwen3,v2.1,user,sytx,446,-0.0281,0.3492
qwen3,v2.1,user,sytx+func,128,0.0092,0.3586
qwen3,v2.1,user,text,808,-0.0269,0.4489
qwen3,v2.1,user,text+func,661,-0.0115,0.4358
qwen3,v2.1,user,text+sytx,81,-0.0260,0.4664
qwen3,v2.1,user,text+sytx+func,895,-0.0174,0.5193
qwen3,v2.1,user,ALL,3572,-0.0184,0.4340
