model,skill,condition,bucket,n,failed,partial,solved,failed_pct,partial_pct,solved_pct
qwen3,no-skill,no-skill,func,553,20,467,66,3.62,84.45,11.93
qwen3,no-skill,no-skill,sytx,446,16,366,64,3.59,82.06,14.35
qwen3,no-skill,no-skill,sytx+func,128,8,106,14,6.25,82.81,10.94
qwen3,no-skill,no-skill,text,808,41,515,252,5.07,63.74,31.19
qwen3,no-skill,no-skill,text+func,662,24,471,167,3.63,71.15,25.23
qwen3,no-skill,no-skill,text+sytx,81,4,47,30,4.94,58.02,37.04
qwen3,no-skill,no-skill,text+sytx+func,896,120,327,449,13.39,36.50,50.11
qwen3,no-skill,no-skill,ALL,3574,233,2299,1042,6.52,64.33,29.16
qwen3,v1,sys,func,553,21,497,35,3.80,89.87,6.33
qwen3,v1,sys,sytx,446,16,387,43,3.59,86.77,9.64
qwen3,v1,sys,sytx+func,128,6,104,18,4.69,81.25,14.06
qwen3,v1,sys,text,808,44,571,193,5.45,70.67,23.89
qwen3,v1,sys,text+func,661,19,506,136,2.87,76.55,20.57
qwen3,v1,sys,text+sytx,81,4,49,28,4.94,60.49,34.57
qwen3,v1,sys,text+sytx+func,897,135,373,389,15.05,41.58,43.37
qwen3,v1,sys,ALL,3574,245,2487,842,6.86,69.59,23.56
qwen3,v1,user,func,553,22,506,25,3.98,91.50,4.52
qwen3,v1,user,sytx,446,17,399,30,3.81,89.46,6.73
qwen3,v1,user,sytx+func,128,7,105,16,5.47,82.03,12.50
qwen3,v1,user,text,808,46,575,187,5.69,71.16,23.14
qwen3,v1,user,text+func,661,19,525,117,2.87,79.43,17.70
qwen3,v1,user,text+sytx,81,4,51,26,4.94,62.96,32.10
qwen3,v1,user,text+sytx+func,897,134,376,387,14.94,41.92,43.14
qwen3,v1,user,ALL,3574,249,2537,788,6.97,70.98,22.05
qwen3,v2,sys,func,553,19,473,61,3.44,85.53,11.03
qwen3,v2,sys,sytx,446,16,351,79,3.59,78.70,17.71
qwen3,v2,sys,sytx+func,128,6,104,18,4.69,81.25,14.06
qwen3,v2,sys,text,808,43,507,258,5.32,62.75,31.93
qwen3,v2,sys,text+func,661,19,469,173,2.87,70.95,26.17
qwen3,v2,sys,text+sytx,81,4,47,30,4.94,58.02,37.04
qwen3,v2,sys,text+sytx+func,896,126,347,423,14.06,38.73,47.21
qwen3,v2,sys,ALL,3573,233,2298,1042,6.52,64.32,29.16
qwen3,v2,user,func,553,21,474,58,3.80,85.71,10.49
qwen3,v2,user,sytx,446,16,371,59,3.59,83.18,13.23
qwen3,v2,user,sytx+func,128,6,103,19,4.69,80.47,14.84
qwen3,v2,user,text,808,42,523,243,5.20,64.73,30.07
qwen3,v2,user,text+func,661,19,470,172,2.87,71.10,26.02
qwen3,v2,user,text+sytx,81,4,47,30,4.94,58.02,37.04
qwen3,v2,user,text+sytx+func,896,127,338,431,14.17,37.72,48.10
qwen3,v2,user,ALL,3573,235,2326,1012,6.58,65.10,28.32
qwen3,v2.1,sys,func,553,22,479,52,3.98,86.62,9.40
qwen3,v2.1,sys,sytx,446,16,364,66,3.59,81.61,14.80
qwen3,v2.1,sys,sytx+func,128,6,104,18,4.69,81.25,14.06
qwen3,v2.1,sys,text,808,42,519,247,5.20,64.23,30.57
qwen3,v2.1,sys,text+func,661,20,481,160,3.03,72.77,24.21
qwen3,v2.1,sys,text+sytx,81,5,47,29,6.17,58.02,35.80
qwen3,v2.1,sys,text+sytx+func,896,125,332,439,13.95,37.05,49.00
qwen3,v2.1,sys,ALL,3573,236,2326,1011,6.61,65.10,28.30
qwen3,v2.1,user,func,553,23,478,52,4.16,86.44,9.40
qwen3,v2.1,user,sytx,446,16,374,56,3.59,83.86,12.56
qwen3,v2.1,user,sytx+func,128,8,102,18,6.25,79.69,14.06
qwen3,v2.1,user,text,808,41,548,219,5.07,67.82,27.10
qwen3,v2.1,user,text+func,661,19,485,157,2.87,73.37,23.75
qwen3,v2.1,user,text+sytx,81,5,47,29,6.17,58.02,35.80
qwen3,v2.1,user,text+sytx+func,896,128,326,442,14.29,36.38,49.33
qwen3,v2.1,user,ALL,3573,240,2360,973,6.72,66.05,27.23
