model,skill,condition,bucket,n_paired,failed->failed,failed->partial,failed->solved,partial->failed,partial->partial,partial->solved,solved->failed,solved->partial,solved->solved
qwen3,no-skill,no-skill,func,553,20,0,0,0,467,0,0,0,66
qwen3,no-skill,no-skill,sytx,446,16,0,0,0,366,0,0,0,64
qwen3,no-skill,no-skill,sytx+func,128,8,0,0,0,106,0,0,0,14
qwen3,no-skill,no-skill,text,808,41,0,0,0,515,0,0,0,252
qwen3,no-skill,no-skill,text+func,662,24,0,0,0,471,0,0,0,167
qwen3,no-skill,no-skill,text+sytx,81,4,0,0,0,47,0,0,0,30
qwen3,no-skill,no-skill,text+sytx+func,896,120,0,0,0,327,0,0,0,449
qwen3,no-skill,no-skill,ALL,3574,233,0,0,0,2299,0,0,0,1042
qwen3,v1,sys,func,553,19,1,0,2,462,3,0,34,32
qwen3,v1,sys,sytx,446,16,0,0,0,356,10,0,31,33
qwen3,v1,sys,sytx+func,128,6,2,0,0,101,5,0,1,13
qwen3,v1,sys,text,808,40,1,0,4,499,12,0,71,181
qwen3,v1,sys,text+func,661,17,2,4,2,457,12,0,47,120
qwen3,v1,sys,text+sytx,81,4,0,0,0,46,1,0,3,27
qwen3,v1,sys,text+sytx+func,896,114,2,4,8,297,22,13,74,362
qwen3,v1,sys,ALL,3573,216,8,8,16,2218,65,13,261,768
qwen3,v1,user,func,553,19,1,0,3,461,3,0,44,22
qwen3,v1,user,sytx,446,16,0,0,1,360,5,0,39,25
qwen3,v1,user,sytx+func,128,6,2,0,1,102,3,0,1,13
qwen3,v1,user,text,808,40,1,0,6,495,14,0,79,173
qwen3,v1,user,text+func,661,17,2,4,2,458,11,0,65,102
qwen3,v1,user,text+sytx,81,4,0,0,0,46,1,0,5,25
qwen3,v1,user,text+sytx+func,896,115,2,3,10,293,24,9,81,359
qwen3,v1,user,ALL,3573,217,8,7,23,2215,61,9,314,719
qwen3,v2,sys,func,553,19,1,0,0,454,13,0,18,48
qwen3,v2,sys,sytx,446,16,0,0,0,335,31,0,16,48
qwen3,v2,sys,sytx+func,128,6,2,0,0,101,5,0,1,13
qwen3,v2,sys,text,808,37,4,0,5,480,30,1,23,228
qwen3,v2,sys,text+func,661,17,2,4,2,437,32,0,30,137
qwen3,v2,sys,text+sytx,81,4,0,0,0,43,4,0,4,26
qwen3,v2,sys,text+sytx+func,895,115,1,3,5,297,25,6,49,394
qwen3,v2,sys,ALL,3572,214,10,7,12,2147,140,7,141,894
qwen3,v2,user,func,553,20,0,0,1,451,15,0,23,43
qwen3,v2,user,sytx,446,16,0,0,0,346,20,0,25,39
qwen3,v2,user,sytx+func,128,6,2,0,0,101,5,0,0,14
qwen3,v2,user,text,808,37,4,0,4,485,26,1,34,217
qwen3,v2,user,text+func,661,17,2,4,2,436,33,0,32,135
qwen3,v2,user,text+sytx,81,4,0,0,0,45,2,0,2,28
qwen3,v2,user,text+sytx+func,895,114,2,3,7,288,32,6,48,395
qwen3,v2,user,ALL,3572,214,10,7,14,2152,133,7,164,871
qwen3,v2.1,sys,func,553,20,0,0,2,457,8,0,22,44
qwen3,v2.1,sys,sytx,446,16,0,0,0,345,21,0,19,45
qwen3,v2.1,sys,sytx+func,128,6,2,0,0,101,5,0,1,13
qwen3,v2.1,sys,text,808,36,5,0,5,481,29,1,33,218
qwen3,v2.1,sys,text+func,661,18,1,4,2,446,23,0,34,133
qwen3,v2.1,sys,text+sytx,81,4,0,0,0,45,2,1,2,27
qwen3,v2.1,sys,text+sytx+func,895,113,3,3,7,284,36,5,45,399
qwen3,v2.1,sys,ALL,3572,213,11,7,16,2159,124,7,156,879
qwen3,v2.1,user,func,553,20,0,0,3,454,10,0,24,42
qwen3,v2.1,user,sytx,446,16,0,0,0,348,18,0,26,38
qwen3,v2.1,user,sytx+func,128,8,0,0,0,101,5,0,1,13
qwen3,v2.1,user,text,808,37,4,0,2,487,26,2,57,193
qwen3,v2.1,user,text+func,661,17,2,4,2,444,25,0,39,128
qwen3,v2.1,user,text+sytx,81,4,0,0,0,45,2,1,2,27
qwen3,v2.1,user,text+sytx+func,895,113,2,4,9,280,38,6,44,399
qwen3,v2.1,user,ALL,3572,215,8,8,16,2159,124,9,193,840
