model,condition,scope,bucket,n,solved,solved_pct
qwen3,baseline,bucket,func,553,66,11.9
qwen3,baseline,bucket,sytx,446,64,14.3
qwen3,baseline,bucket,sytx+func,128,14,10.9
qwen3,baseline,bucket,text,808,252,31.2
qwen3,baseline,bucket,text+func,662,167,25.2
qwen3,baseline,bucket,text+sytx,81,30,37.0
qwen3,baseline,bucket,text+sytx+func,896,449,50.1
qwen3,baseline,overall,,3574,1042,29.2
qwen3,v1,bucket,func,553,35,6.3
qwen3,v1,bucket,sytx,446,43,9.6
qwen3,v1,bucket,sytx+func,128,18,14.1
qwen3,v1,bucket,text,808,193,23.9
qwen3,v1,bucket,text+func,661,136,20.6
qwen3,v1,bucket,text+sytx,81,28,34.6
qwen3,v1,bucket,text+sytx+func,897,389,43.4
qwen3,v1,overall,,3574,842,23.6
qwen3,v2,bucket,func,553,61,11.0
qwen3,v2,bucket,sytx,446,79,17.7
qwen3,v2,bucket,sytx+func,128,18,14.1
qwen3,v2,bucket,text,808,258,31.9
qwen3,v2,bucket,text+func,661,173,26.2
qwen3,v2,bucket,text+sytx,81,30,37.0
qwen3,v2,bucket,text+sytx+func,896,423,47.2
qwen3,v2,overall,,3573,1042,29.2
qwen3,v2.1,bucket,func,553,52,9.4
qwen3,v2.1,bucket,sytx,446,66,14.8
qwen3,v2.1,bucket,sytx+func,128,18,14.1
qwen3,v2.1,bucket,text,808,247,30.6
qwen3,v2.1,bucket,text+func,661,160,24.2
qwen3,v2.1,bucket,text+sytx,81,29,35.8
qwen3,v2.1,bucket,text+sytx+func,896,439,49.0
qwen3,v2.1,overall,,3573,1011,28.3
apertus,baseline,bucket,func,553,39,7.1
apertus,baseline,bucket,sytx,446,21,4.7
apertus,baseline,bucket,sytx+func,128,15,11.7
apertus,baseline,bucket,text,808,185,22.9
apertus,baseline,bucket,text+func,661,128,19.4
apertus,baseline,bucket,text+sytx,81,14,17.3
apertus,baseline,bucket,text+sytx+func,895,365,40.8
apertus,baseline,overall,,3572,767,21.5
apertus,v1,bucket,func,553,32,5.8
apertus,v1,bucket,sytx,446,13,2.9
apertus,v1,bucket,sytx+func,128,14,10.9
apertus,v1,bucket,text,808,166,20.5
apertus,v1,bucket,text+func,661,109,16.5
apertus,v1,bucket,text+sytx,81,14,17.3
apertus,v1,bucket,text+sytx+func,895,343,38.3
apertus,v1,overall,,3572,691,19.3
apertus,v2,bucket,func,553,57,10.3
apertus,v2,bucket,sytx,446,43,9.6
apertus,v2,bucket,sytx+func,128,18,14.1
apertus,v2,bucket,text,808,208,25.7
apertus,v2,bucket,text+func,661,154,23.3
apertus,v2,bucket,text+sytx,81,21,25.9
apertus,v2,bucket,text+sytx+func,894,428,47.9
apertus,v2,overall,,3571,929,26.0
apertus,v2.1,bucket,func,553,65,11.8
apertus,v2.1,bucket,sytx,446,52,11.7
apertus,v2.1,bucket,sytx+func,128,19,14.8
apertus,v2.1,bucket,text,808,221,27.4
apertus,v2.1,bucket,text+func,661,169,25.6
apertus,v2.1,bucket,text+sytx,81,21,25.9
apertus,v2.1,bucket,text+sytx+func,893,473,53.0
apertus,v2.1,overall,,3570,1020,28.6
