bucket,case_id,conflict_idx,max_tokens,reason
text+sytx+func,0x38c8c7c3907e73d1,1,31092,"max condition tokens 31092 > cap 30720"
text+sytx+func,0x917b900e7db2a59,1,82992,"max condition tokens 82992 > cap 30720"
text+sytx+func,0xd52686f97fc9b4f2,1,81819,"max condition tokens 81819 > cap 30720"
text+sytx+func,0xb1174f292bb18770,1,58340,"max condition tokens 58340 > cap 30720"
text+sytx+func,0x72c54cc7eab37bae,1,33130,"max condition tokens 33130 > cap 30720"
text+sytx+func,0x3487a78b9d623479,1,117412,"max condition tokens 117412 > cap 30720"
text+sytx+func,0x645843f49857704f,1,32789,"max condition tokens 32789 > cap 30720"
text+sytx+func,0xa2f011c1f02c3354,1,33684,"max condition tokens 33684 > cap 30720"
text+sytx+func,0x7544db81b2fc1ae4,1,86598,"max condition tokens 86598 > cap 30720"
text+sytx+func,0x6bd5e3880d5a3d8f,1,99256,"max condition tokens 99256 > cap 30720"
text+sytx+func,0xf23323cac506ee3a,1,86598,"max condition tokens 86598 > cap 30720"
