bucket,case_id,conflict_idx,max_tokens,reason
text,0x58781bafc4d026e0,1,118738,"max condition tokens 118738 > cap 30720"
text,0xe3435f98ae48af53,1,232741,"max condition tokens 232741 > cap 30720"
text,0x1ac8e4dae7b535c3,1,232741,"max condition tokens 232741 > cap 30720"
text,0xcf0424e07418f2de,1,232741,"max condition tokens 232741 > cap 30720"
text,0xf91f28e6db0c66c4,1,381707,"max condition tokens 381707 > cap 30720"
text,0x2a51333fc57e559,1,470563,"max condition tokens 470563 > cap 30720"
text,0x47ba4612e82bb50b,1,465311,"max condition tokens 465311 > cap 30720"
text,0x26f6eeb3da28d3b2,1,373613,"max condition tokens 373613 > cap 30720"
text,0x819f63fb531b93d1,1,461301,"max condition tokens 461301 > cap 30720"
text,0x7c75ee58176e2227,1,453961,"max condition tokens 453961 > cap 30720"
text,0x25202d993e72b336,1,463401,"max condition tokens 463401 > cap 30720"
text,0xdc9b6028f22ce7a3,1,446475,"max condition tokens 446475 > cap 30720"
text+func,0x3c6bfea82e909fff,1,37871,"max condition tokens 37871 > cap 30720"
text+func,0x36fc912664c75dda,1,34015,"max condition tokens 34015 > cap 30720"
text+sytx+func,0x84f11062e96e5f97,1,31074,"max condition tokens 31074 > cap 30720"
text+sytx+func,0x38c8c7c3907e73d1,1,32372,"max condition tokens 32372 > cap 30720"
text+sytx+func,0x917b900e7db2a59,1,84272,"max condition tokens 84272 > cap 30720"
text+sytx+func,0xd52686f97fc9b4f2,1,83099,"max condition tokens 83099 > cap 30720"
text+sytx+func,0xb1174f292bb18770,1,59620,"max condition tokens 59620 > cap 30720"
text+sytx+func,0x72c54cc7eab37bae,1,34410,"max condition tokens 34410 > cap 30720"
text+sytx+func,0x3487a78b9d623479,1,118692,"max condition tokens 118692 > cap 30720"
text+sytx+func,0x645843f49857704f,1,34069,"max condition tokens 34069 > cap 30720"
text+sytx+func,0xa2f011c1f02c3354,1,34964,"max condition tokens 34964 > cap 30720"
text+sytx+func,0x2a13abdd1b245a29,1,31442,"max condition tokens 31442 > cap 30720"
text+sytx+func,0x7544db81b2fc1ae4,1,87878,"max condition tokens 87878 > cap 30720"
text+sytx+func,0x6bd5e3880d5a3d8f,1,100536,"max condition tokens 100536 > cap 30720"
text+sytx+func,0xf23323cac506ee3a,1,87878,"max condition tokens 87878 > cap 30720"
