bucket,case_id,conflict_idx,max_tokens,reason
text,0x58781bafc4d026e0,1,118189,"max condition tokens 118189 > cap 30720"
text,0xe3435f98ae48af53,1,232192,"max condition tokens 232192 > cap 30720"
text,0x1ac8e4dae7b535c3,1,232192,"max condition tokens 232192 > cap 30720"
text,0xcf0424e07418f2de,1,232192,"max condition tokens 232192 > cap 30720"
text,0xf91f28e6db0c66c4,1,381158,"max condition tokens 381158 > cap 30720"
text,0x2a51333fc57e559,1,470014,"max condition tokens 470014 > cap 30720"
text,0x47ba4612e82bb50b,1,464762,"max condition tokens 464762 > cap 30720"
text,0x26f6eeb3da28d3b2,1,373064,"max condition tokens 373064 > cap 30720"
text,0x819f63fb531b93d1,1,460752,"max condition tokens 460752 > cap 30720"
text,0x7c75ee58176e2227,1,453412,"max condition tokens 453412 > cap 30720"
text,0x25202d993e72b336,1,462852,"max condition tokens 462852 > cap 30720"
text,0xdc9b6028f22ce7a3,1,445926,"max condition tokens 445926 > cap 30720"
text+func,0x3c6bfea82e909fff,1,37322,"max condition tokens 37322 > cap 30720"
text+func,0x36fc912664c75dda,1,33466,"max condition tokens 33466 > cap 30720"
text+sytx+func,0x38c8c7c3907e73d1,1,31823,"max condition tokens 31823 > cap 30720"
text+sytx+func,0x917b900e7db2a59,1,83723,"max condition tokens 83723 > cap 30720"
text+sytx+func,0xd52686f97fc9b4f2,1,82550,"max condition tokens 82550 > cap 30720"
text+sytx+func,0xb1174f292bb18770,1,59071,"max condition tokens 59071 > cap 30720"
text+sytx+func,0x72c54cc7eab37bae,1,33861,"max condition tokens 33861 > cap 30720"
text+sytx+func,0x3487a78b9d623479,1,118143,"max condition tokens 118143 > cap 30720"
text+sytx+func,0x645843f49857704f,1,33520,"max condition tokens 33520 > cap 30720"
text+sytx+func,0xa2f011c1f02c3354,1,34415,"max condition tokens 34415 > cap 30720"
text+sytx+func,0x2a13abdd1b245a29,1,30893,"max condition tokens 30893 > cap 30720"
text+sytx+func,0x7544db81b2fc1ae4,1,87329,"max condition tokens 87329 > cap 30720"
text+sytx+func,0x6bd5e3880d5a3d8f,1,99987,"max condition tokens 99987 > cap 30720"
text+sytx+func,0xf23323cac506ee3a,1,87329,"max condition tokens 87329 > cap 30720"
