case_id,conflict_idx,condition,n_tokens,errored
0x3f596c9f2da72034,1,no-skill,600,0
0x3f596c9f2da72034,1,skill-v1-sys,924,0
0x3f596c9f2da72034,1,skill-v1-user,945,0
0x68987ef128705b5e,1,no-skill,503,0
0x68987ef128705b5e,1,skill-v1-sys,827,0
0x68987ef128705b5e,1,skill-v1-user,848,0
0x538fa1002b6db1c3,1,no-skill,612,0
0x538fa1002b6db1c3,1,skill-v1-sys,936,0
0x538fa1002b6db1c3,1,skill-v1-user,957,0
0x8dc1a1b4d8d5b08f,1,no-skill,438,0
0x8dc1a1b4d8d5b08f,1,skill-v1-sys,762,0
0x8dc1a1b4d8d5b08f,1,skill-v1-user,783,0
0xfbfbe5ede2d67f78,1,no-skill,515,0
0xfbfbe5ede2d67f78,1,skill-v1-sys,839,0
0xfbfbe5ede2d67f78,1,skill-v1-user,860,0
0x77edb9762bc2d466,1,no-skill,389,0
0x77edb9762bc2d466,1,skill-v1-sys,713,0
0x77edb9762bc2d466,1,skill-v1-user,734,0
0xc4a3f23ea63101bb,1,no-skill,482,0
0xc4a3f23ea63101bb,1,skill-v1-sys,806,0
0xc4a3f23ea63101bb,1,skill-v1-user,827,0
0x8aa0a07c04ab9788,1,no-skill,475,0
0x8aa0a07c04ab9788,1,skill-v1-sys,799,0
0x8aa0a07c04ab9788,1,skill-v1-user,820,0
0x7e726c7c1d0092bb,1,no-skill,505,0
0x7e726c7c1d0092bb,1,skill-v1-sys,829,0
0x7e726c7c1d0092bb,1,skill-v1-user,850,0
0xaec1c7876ad6cfc1,1,no-skill,415,0
0xaec1c7876ad6cfc1,1,skill-v1-sys,739,0
0xaec1c7876ad6cfc1,1,skill-v1-user,760,0
0x316efba4b932bdaa,1,no-skill,1018,0
0x316efba4b932bdaa,1,skill-v1-sys,1342,0
0x316efba4b932bdaa,1,skill-v1-user,1363,0
0x8114a26a50011cdd,1,no-skill,446,0
0x8114a26a50011cdd,1,skill-v1-sys,770,0
0x8114a26a50011cdd,1,skill-v1-user,791,0
0xe19c14c50a278b20,1,no-skill,547,0
0xe19c14c50a278b20,1,skill-v1-sys,871,0
0xe19c14c50a278b20,1,skill-v1-user,892,0
0xb33859055f8d13bc,1,no-skill,636,0
0xb33859055f8d13bc,1,skill-v1-sys,960,0
0xb33859055f8d13bc,1,skill-v1-user,981,0
0xfddd15186c3b70e6,1,no-skill,450,0
0xfddd15186c3b70e6,1,skill-v1-sys,774,0
0xfddd15186c3b70e6,1,skill-v1-user,795,0
0xea165ee3c1c00431,1,no-skill,518,0
0xea165ee3c1c00431,1,skill-v1-sys,842,0
0xea165ee3c1c00431,1,skill-v1-user,863,0
0x169a3bfbe26b6230,1,no-skill,460,0
0x169a3bfbe26b6230,1,skill-v1-sys,784,0
0x169a3bfbe26b6230,1,skill-v1-user,805,0
0xced126658cf60c53,1,no-skill,498,0
0xced126658cf60c53,1,skill-v1-sys,822,0
0xced126658cf60c53,1,skill-v1-user,843,0
0x1afa189bade047d0,1,no-skill,1599,0
0x1afa189bade047d0,1,skill-v1-sys,1923,0
0x1afa189bade047d0,1,skill-v1-user,1944,0
0xc02bcb5e0daf4b90,1,no-skill,475,0
0xc02bcb5e0daf4b90,1,skill-v1-sys,799,0
0xc02bcb5e0daf4b90,1,skill-v1-user,820,0
0x93b3f4f43a781c8f,1,no-skill,566,0
0x93b3f4f43a781c8f,1,skill-v1-sys,890,0
0x93b3f4f43a781c8f,1,skill-v1-user,911,0
0xf142acdf8767b156,1,no-skill,575,0
0xf142acdf8767b156,1,skill-v1-sys,899,0
0xf142acdf8767b156,1,skill-v1-user,920,0
0x3f07da3cd4773f94,1,no-skill,478,0
0x3f07da3cd4773f94,1,skill-v1-sys,802,0
0x3f07da3cd4773f94,1,skill-v1-user,823,0
0xd8e674d681f04126,1,no-skill,879,0
0xd8e674d681f04126,1,skill-v1-sys,1203,0
0xd8e674d681f04126,1,skill-v1-user,1224,0
0x43b524f65eb7ad1d,1,no-skill,443,0
0x43b524f65eb7ad1d,1,skill-v1-sys,767,0
0x43b524f65eb7ad1d,1,skill-v1-user,788,0
0xe64b00b26d7c32ee,1,no-skill,499,0
0xe64b00b26d7c32ee,1,skill-v1-sys,823,0
0xe64b00b26d7c32ee,1,skill-v1-user,844,0
0xe7634bc3a67b39a3,1,no-skill,1011,0
0xe7634bc3a67b39a3,1,skill-v1-sys,1335,0
0xe7634bc3a67b39a3,1,skill-v1-user,1356,0
0xeb3aa2e5c46982a8,1,no-skill,442,0
0xeb3aa2e5c46982a8,1,skill-v1-sys,766,0
0xeb3aa2e5c46982a8,1,skill-v1-user,787,0
0xf49123d11a76db1e,1,no-skill,365,0
0xf49123d11a76db1e,1,skill-v1-sys,689,0
0xf49123d11a76db1e,1,skill-v1-user,710,0
0x7441688fffe12769,1,no-skill,754,0
0x7441688fffe12769,1,skill-v1-sys,1078,0
0x7441688fffe12769,1,skill-v1-user,1099,0
0x2b146fed37b53c99,1,no-skill,864,0
0x2b146fed37b53c99,1,skill-v1-sys,1188,0
0x2b146fed37b53c99,1,skill-v1-user,1209,0
0x1c9e428cfa2cbf33,1,no-skill,911,0
0x1c9e428cfa2cbf33,1,skill-v1-sys,1235,0
0x1c9e428cfa2cbf33,1,skill-v1-user,1256,0
0xc74b9e4434e24924,1,no-skill,606,0
0xc74b9e4434e24924,1,skill-v1-sys,930,0
0xc74b9e4434e24924,1,skill-v1-user,951,0
0x94fbe24ce8c26179,1,no-skill,1114,0
0x94fbe24ce8c26179,1,skill-v1-sys,1438,0
0x94fbe24ce8c26179,1,skill-v1-user,1459,0
0x6e40b71a6a980610,1,no-skill,425,0
0x6e40b71a6a980610,1,skill-v1-sys,749,0
0x6e40b71a6a980610,1,skill-v1-user,770,0
0x3552ce30e6b3e179,1,no-skill,523,0
0x3552ce30e6b3e179,1,skill-v1-sys,847,0
0x3552ce30e6b3e179,1,skill-v1-user,868,0
0x499bb35f30efdff0,1,no-skill,719,0
0x499bb35f30efdff0,1,skill-v1-sys,1043,0
0x499bb35f30efdff0,1,skill-v1-user,1064,0
0x32ff95d828641be0,1,no-skill,1427,0
0x32ff95d828641be0,1,skill-v1-sys,1751,0
0x32ff95d828641be0,1,skill-v1-user,1772,0
0xe7a293512f63e959,1,no-skill,578,0
0xe7a293512f63e959,1,skill-v1-sys,902,0
0xe7a293512f63e959,1,skill-v1-user,923,0
0x3c6bfea82e909fff,1,no-skill,36246,1
0x3c6bfea82e909fff,1,skill-v1-sys,36570,1
0x3c6bfea82e909fff,1,skill-v1-user,36591,1
0x61946fbdd3d5a8b9,1,no-skill,11798,0
0x61946fbdd3d5a8b9,1,skill-v1-sys,12122,0
0x61946fbdd3d5a8b9,1,skill-v1-user,12143,0
0x64a98aa45219b8c0,1,no-skill,27010,0
0x64a98aa45219b8c0,1,skill-v1-sys,27334,0
0x64a98aa45219b8c0,1,skill-v1-user,27355,0
0xa2336f4295120fe9,1,no-skill,6094,0
0xa2336f4295120fe9,1,skill-v1-sys,6418,0
0xa2336f4295120fe9,1,skill-v1-user,6439,0
0x80808a1179ee4134,1,no-skill,2534,0
0x80808a1179ee4134,1,skill-v1-sys,2858,0
0x80808a1179ee4134,1,skill-v1-user,2879,0
0x67720ded2b764e66,1,no-skill,20898,0
0x67720ded2b764e66,1,skill-v1-sys,21222,0
0x67720ded2b764e66,1,skill-v1-user,21243,0
0xa876b855f9809bb2,1,no-skill,1170,0
0xa876b855f9809bb2,1,skill-v1-sys,1494,0
0xa876b855f9809bb2,1,skill-v1-user,1515,0
0xcae5a1cb00270bcc,1,no-skill,5554,0
0xcae5a1cb00270bcc,1,skill-v1-sys,5878,0
0xcae5a1cb00270bcc,1,skill-v1-user,5899,0
0x442dc794e16ce24,1,no-skill,6482,0
0x442dc794e16ce24,1,skill-v1-sys,6806,0
0x442dc794e16ce24,1,skill-v1-user,6827,0
0x3c559dfa4d26b309,1,no-skill,6010,0
0x3c559dfa4d26b309,1,skill-v1-sys,6334,0
0x3c559dfa4d26b309,1,skill-v1-user,6355,0
0x36fc912664c75dda,1,no-skill,32390,1
0x36fc912664c75dda,1,skill-v1-sys,32714,1
0x36fc912664c75dda,1,skill-v1-user,32735,1
0xcc9ada5389241616,1,no-skill,7826,0
0xcc9ada5389241616,1,skill-v1-sys,8150,0
0xcc9ada5389241616,1,skill-v1-user,8171,0
0x566219815f47e170,1,no-skill,353,0
0x566219815f47e170,1,skill-v1-sys,677,0
0x566219815f47e170,1,skill-v1-user,698,0
0x129fdf4d43bc574,1,no-skill,617,0
0x129fdf4d43bc574,1,skill-v1-sys,941,0
0x129fdf4d43bc574,1,skill-v1-user,962,0
0xcc58aa7405057a6e,1,no-skill,563,0
